ts,coin,addr,kind,side,szi_prev,szi,delta,entryPx,mark
2026-08-20T21:42:31+00:00,BTC,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,OPEN,LONG,0.0,69.0,69.0,72078.9,72746.7
2026-08-20T21:42:31+00:00,BTC,0x023a3d058020fb76cca98f01b3c48c8938a22355,REDUCE,SHORT,-83.62087,-26.57596,57.04491,72431.5,72746.7
2026-08-20T21:42:31+00:00,BTC,0x0748e296e5a350ec36c8487a1cea406e1b57d4b2,OPEN,LONG,0.0,50.0,50.0,64671.2,72746.7
2026-08-20T21:42:31+00:00,BTC,0x07fd993f0fa3a185f7207adccd29f7a87404689d,OPEN,LONG,0.0,9.62362,9.62362,68150.4,72746.7
2026-08-20T21:42:31+00:00,BTC,0x0c684f333a7e120bce61383da670bbb0157e82d0,OPEN,SHORT,0.0,-17.03801,-17.03801,69584.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,OPEN,LONG,0.0,200.0,200.0,62029.8,72746.7
2026-08-20T21:42:31+00:00,BTC,0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,OPEN,LONG,0.0,9.11268,9.11268,64997.3,72746.7
2026-08-20T21:42:31+00:00,BTC,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,OPEN,SHORT,0.0,-147.29961,-147.29961,69308.6,72746.7
2026-08-20T21:42:31+00:00,BTC,0x237152b038d88f4156a0cd71090462de7e3f0883,OPEN,LONG,0.0,300.0,300.0,60512.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0x31dea2516beee92135b96f464eeec3cf292a13f2,REDUCE,SHORT,-38.18604,-20.42851,17.75753,72555.7,72746.7
2026-08-20T21:42:31+00:00,BTC,0x32008fcb6bbd16532afc83ca8b6c920dde22c407,ADD,SHORT,-329.09133,-347.00523,-17.913899999999956,71844.6,72746.7
2026-08-20T21:42:31+00:00,BTC,0x362ad6209a5e904a5569f69884375809c5781d9f,OPEN,LONG,0.0,176.5459,176.5459,64402.8,72746.7
2026-08-20T21:42:31+00:00,BTC,0x378bfe39bcb271136bd70ee32e2531a486f18012,OPEN,LONG,0.0,10.0,10.0,75641.0,72746.7
2026-08-20T21:42:31+00:00,BTC,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,ADD,SHORT,-62.27172,-167.08056,-104.80883999999999,72687.3,72746.7
2026-08-20T21:42:31+00:00,BTC,0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,ADD,SHORT,-50.0,-60.0,-10.0,72054.5,72746.7
2026-08-20T21:42:31+00:00,BTC,0x523852be2db1a76a0e088ecbff32e849544054e5,OPEN,LONG,0.0,10.0,10.0,64907.0,72746.7
