addr,av
0x1c498a93b145e7a73d69691e9023f6f308e1cc3f,5482652399.040875
0x24de6b77e8bc31c40aa452926daa6bbab7a71b0f,3001319210.897691
0x393d0b87ed38fc779fd9611144ae649ba6082109,1101575286.627858
0xe6111266afdcdf0b1fe8505028cc1f7419d798a7,1048149914.41857
0x8d68efbf06fb8cf932518bcb53705e674c4852dc,707450670.463231
0x488d2a9b70cc18ef66057a48ab3d59da1c59fe08,245811114.880041
0x4ec8fe22a531a96c8a846aaf5cbef73202649a80,225006145.928985
0x4eb8d907136189a34c9b087950211b6a566f7819,194407664.688538
0x05cafe987297448f21a3c7ae0ae815fddecac655,188395301.872049
0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,185691461.504179
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,167329975.08634302
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,156938149.775443
0x85530f0ff6496c72a619f37a60f3c1a59077737f,151994006.034282
0x1ab185be5ff61f7b678d6a871d439307cd0752e3,143003962.937668
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,113731655.364932
0x493db0ed7514c975e9abcc110bd40c473b6763e3,105212625.477803
0x3258e4e06929b746854c989de764efd015db3943,103318719.075703
0x469f690213c467c39a23efacfd2816896009d7d8,100065563.666697
0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,95840413.15582599
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,90748910.543774
0xfec495e7432264678175bea68c4d7678944f6635,89813901.635886
0x7aa14144f5811aab1ba4a07f014a592f8c9d864c,89561711.598688
0xfc667adba8d4837586078f4fdcdc29804337ca06,85622766.70747301
0xe867fbdad3291530e41530301ecb77693850c78e,85209430.229662
0xf8e3128c778a828f079049eefb89a9041cb4af4d,81159414.885044
0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,80189948.60351
0xd0e2842e830f2107f151ec0bd307c5871a3b4018,77580932.951122
0x856c35038594767646266bc7fd68dc26480e910d,75175652.161782
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,73525229.711646
0x92ea19eceb7a8de0f50978a1583a5d8b018050e9,71795693.970133
0x03b9a189e2480d1e4c3007080b29f362282130fa,71070980.92490502
0xef406d8e729b6de82852912289f8b70bbdc49956,68348749.821067
0xf9693821d9235a3c08b1c5abfd8dd6d908ee9e12,68046096.454596
0x7fdafde5cfb5465924316eced2d3715494c517d1,66946334.315372996
0x88806a71d74ad0a510b350545c9ae490912f0888,61054445.918593
0xf47aad93dbdd5cfae218fe02ede7fe6e503cb942,61053186.598556
0xf5d81a135f756ca16544e53c20fc20643ec3ad53,60087448.138688006
0x85ecf584f25db6f146718b86d493e33c5af72052,58911433.90897801
0xf992aa323ec183733213f874b6322b8bd1aad625,58685602.178352
0x5a264a3c43e7c4a7355f15af76f865cfde8c2208,57794941.875167
0x0a8494f70031623c9c0043aff4d40f334b458b11,56485132.689076
0x4c7ea3e9b0e7f0f2ab0d60c22b6d12ff81c09899,53379129.390281
0x45d26f28196d226497130c4bac709d808fed4029,52879697.971583
0xe787dd1347a29e6807d164c4fa43105b64048556,52796873.118746
0x4f8613500222a4b6e7f570c23ec59c7d936977f1,52604312.681158
0x5c28f772c43b12d5e4bcddfca52d8ea663d46ca6,50126588.824267
0x931dee7d984fdf3a6984937a153580a0bd5492c5,50126584.909763
0xb6a498c99e2a9a3bfed7d5d7499329f79bb91d47,50126584.907405
0x6183aecb22b09b4cb167f2b42c611243c7e74318,49601806.790275
0x0d446c3372a9ba9cddef0eef7a1afab6dc0e8c0b,49601003.007427
0x1419e75330c71ce463102e6a1eb62fe80b412d5f,49504368.436155
0x6b05807ca5015895ed3e5175ae00b3d41d024b4e,49227081.163336
0x910538a18bd911de72e849822c8d658b72ed0541,49037351.215632
0xa5b0edf6b55128e0ddae8e51ac538c3188401d41,48136067.356342
0x71f0019cc7fa79e4f42587fb7b9a817d8d2429ec,48116848.903968
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,47903891.901771
0xdc94648b243ba2b3e627d7984018b72d96ffb55f,47334611.347691
0x80d70db097193ad5a60d434329e72251c19609b9,46746607.887175
0xa3af593d2d6b5537a8e5a1dea656e77fc2b698b0,46337193.33578
0x3e71175af4d2a685411d4bb3c9550b525b2fb9eb,45455094.903586
0x15a9d84539028adc387c0bcf02588954e4fa4138,45440794.652844
0x1e8fa79fc581a496513c1d90207e88f289aa158d,44651309.552663
0xd9b7b09eb1e2ccbfe293e96a2172a80a47a9582e,44384694.747493
0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,44357029.40833
0x6788a77eab0023851b1b7b4ad6b1cc0a79afbcf1,42390648.195055
0x2ee6bef5b7b63aeefc9059f1436dabe259c34d1c,42107714.233
0xb3bd5fafb3dcb7ff0d27a6dcdb1974a2f8ac221d,41486879.6583
0xfd7a84563bf1962498ba82baf3a66b2b326ffb32,41399657.504561
0x556d2bbd04cc98c6eb9b626c9d829dd5fec5605e,40703272.917498
0x62bc1fe6009388219dd84f9dca37930f6fb6fa22,40560332.338587
0x53e655101ea361537124ef814ad4e654b54d0637,40532348.572867
0xa7621b2a64ec9438669071922dc9bc5c1534f8c7,40529241.730554
0x372c7f69d0ecc14f73f89bd8a7dfb41bdf29857c,40513740.403483
0x423d7f725ae7056f03f7ef57f9d0303f91c62e06,40511936.22318
0x4e5319deb1072b01439ee674db5c321d11fd96f8,40451366.625496
0x6eba10acaaf584f662691a13795aef5741287359,40447091.338335
0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,40445968.080826
0x484bc1608211d0604bf70bae72792a56884562f8,40295722.046904
0x980a88234fd755cc40a2edc2ab2bf41ffc33a16a,40251816.259648
0x0c46eb73fae2816f219fcf11f50d6d3c59b5819e,40191377.172158
0x320c8988e3d1b5198f335802d7bfd2728a8fcac6,40181828.455574
0xff4cd3826ecee12acd4329aada4a2d3419fc463c,40156872.41117699
0xf605cd3adabbc3110bc3efb85ebe7be57590a527,40009942.761422
0xbcd5eaedcb8b975a1310f954ede23e6d23ab7e49,39998596.12688
0x987f82a4a19848eaac4fe0be550d1eb4e1518573,39906241.19534
0x14972b3f0140ad3e80f191d4b3f5728d7ee5a652,39889620.077728
