addr,av,coin,szi,entryPx,notional,upnl,liqPx,lev,levType,ts
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,62465896.093672,SOL,-252140.51,85.4978,23751383.90149,-2193903.899671,335.6308525136,5,cross,2026-08-24T08:09:18+00:00
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,66722026.876568,SOL,-507894.72,88.9755,47843174.72928,-2652969.270337,228.1855868519,10,cross,2026-08-24T08:09:18+00:00
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,57514439.215906,SOL,-146751.49,93.833,13823843.60651,-53705.421497,430.8439857762,20,cross,2026-08-24T08:09:18+00:00
0xfc667adba8d4837586078f4fdcdc29804337ca06,15612996.605364,SOL,-22525.64,87.459,2121892.76236,-151820.682614,744.5208175371,20,cross,2026-08-24T08:09:18+00:00
0x856c35038594767646266bc7fd68dc26480e910d,1159135.696086,SOL,827.66,80.9431,77964.74434,10971.34885,,20,cross,2026-08-24T08:09:18+00:00
0x7fdafde5cfb5465924316eced2d3715494c517d1,52245572.476714,SOL,-54619.89,89.487,5145139.01811,-257368.43498,939.9689128904,20,cross,2026-08-24T08:09:18+00:00
0xf5d81a135f756ca16544e53c20fc20643ec3ad53,1116407.728106,SOL,74.49,94.2,7016.88351,-0.078487,,3,cross,2026-08-24T08:09:18+00:00
0x45d26f28196d226497130c4bac709d808fed4029,22039839.756091,SOL,-29220.0,93.2845,2752494.78,-26718.80051,1244.5440189221,20,cross,2026-08-24T08:09:18+00:00
0x023a3d058020fb76cca98f01b3c48c8938a22355,13767031.292847,SOL,-8216.98,93.7384,774001.717892,-3754.526811,1451.6095355345,20,cross,2026-08-24T08:09:18+00:00
0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,10288868.905173,SOL,-4552.82,95.3619,428854.701028,5311.206516,1964.2568333751,20,cross,2026-08-24T08:09:18+00:00
